"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2023","153.791","153.456","155.379","152.207","71.04K","0.22%"
"May 08, 2023","153.456","156.893","157.508","149.362","86.26K","-2.19%"
"May 07, 2023","156.893","156.203","158.577","155.794","52.59K","0.44%"
"May 06, 2023","156.203","158.282","158.949","154.127","70.31K","-1.31%"
"May 05, 2023","158.282","155.491","158.577","154.700","80.10K","1.80%"
"May 04, 2023","155.491","155.188","156.740","154.598","67.87K","0.20%"
"May 03, 2023","155.181","152.706","155.270","151.314","89.23K","1.57%"
"May 02, 2023","152.783","152.654","154.918","152.383","61.38K","0.08%"
"May 01, 2023","152.655","155.385","156.006","150.998","80.74K","-2.01%"
"Apr 30, 2023","155.788","154.506","157.017","153.771","38.45K","0.83%"
"Apr 29, 2023","154.506","153.197","156.081","152.445","48.14K","0.85%"
"Apr 28, 2023","153.197","153.815","155.501","152.438","79.60K","-0.40%"
"Apr 27, 2023","153.815","156.900","158.949","153.653","94.41K","-1.97%"
"Apr 26, 2023","156.900","159.893","162.469","152.026","104.51K","-1.87%"
"Apr 25, 2023","159.893","157.601","159.968","154.324","62.87K","1.45%"
"Apr 24, 2023","157.601","157.474","158.952","156.164","63.26K","0.08%"
"Apr 23, 2023","157.474","157.428","159.330","155.808","67.69K","0.03%"
"Apr 22, 2023","157.428","151.158","157.620","150.294","50.38K","4.15%"
"Apr 21, 2023","151.156","153.477","155.530","149.384","68.14K","-1.51%"
"Apr 20, 2023","153.477","152.951","156.020","151.019","74.36K","0.34%"
"Apr 19, 2023","152.951","162.776","162.854","152.050","88.54K","-6.04%"
"Apr 18, 2023","162.786","159.420","163.395","158.238","59.06K","2.11%"
"Apr 17, 2023","159.420","163.852","164.022","159.352","88.87K","-2.68%"
"Apr 16, 2023","163.806","162.226","164.127","160.768","49.75K","0.97%"
"Apr 15, 2023","162.226","162.152","163.751","161.308","65.78K","-0.00%"
"Apr 14, 2023","162.227","161.935","164.346","159.178","88.30K","0.18%"
"Apr 13, 2023","161.935","162.096","163.828","161.399","67.43K","-0.10%"
"Apr 12, 2023","162.096","162.037","162.839","159.114","106.18K","0.04%"
"Apr 11, 2023","162.037","159.164","162.768","158.650","109.80K","1.79%"
"Apr 10, 2023","159.193","160.224","160.856","155.317","109.74K","-0.67%"
"Apr 09, 2023","160.272","158.278","160.428","157.722","45.89K","1.26%"
"Apr 08, 2023","158.278","156.667","159.116","156.665","55.02K","1.03%"
"Apr 07, 2023","156.667","156.300","157.789","155.220","57.26K","0.23%"
"Apr 06, 2023","156.300","158.063","158.613","156.178","69.26K","-1.12%"
"Apr 05, 2023","158.063","158.623","160.217","156.021","81.72K","-0.40%"
